,longitude,latitude,time,altitude,air_temperature,specific_humidity,true_airspeed,flight_id,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,oc,co2_m,h2o_m,so2_m,nox_m,co_m,hc_m,nvpm_m,waypoint
20,0.7623296316149032,0.7622621679599206,2022-03-01 00:20:00,11500.0,221.10217,7.9019126e-05,99.90312899501353,0.0,61204.73230759369,0.15163877483192936,0.8001373010432797,48.00823806259678,83026.50056289509,0.0,0.40006865052163987,0.6344084343161248,0.011362517873091256,0.0004276766477291102,4.172455099796196e-05,7.17e-05,1090000000000000.0,0.0009601647612519355,0.02530885565579198,0.009851231790070929,6.7276704907801464e-06,9.100390023304528e-05,3.425318526812989e-06,3.341774172500476e-07,5.742547311773053e-07,20
21,0.8004533745619176,0.8003752763579166,2022-03-01 00:21:00,11500.0,221.09961,7.8371e-05,99.90405744914175,0.0,61156.72406953109,0.15163595048989148,0.800174823150246,48.01048938901476,82900.56691638911,0.0,0.400087411575123,0.6344107337837955,0.011362899825745268,0.0004276603057757412,4.172295666104792e-05,7.17e-05,1090000000000000.0,0.000960209787780295,0.025309807286275535,0.009851602203202185,6.727923455845396e-06,9.101038126672994e-05,3.4253164313840753e-06,3.3417721281795853e-07,5.742763235525176e-07,21
22,0.8385781802714682,0.8384883847559126,2022-03-01 00:22:00,11500.0,221.09743,7.782588e-05,99.90503013696278,0.0,61108.71358014207,0.15163374757246442,0.8002068908901477,48.01241345340886,82774.81106305735,0.0,0.40010344544507387,0.6344127795376456,0.011363225292115878,0.00042764637693324363,4.172159774958474e-05,7.17e-05,1090000000000000.0,0.0009602482690681772,0.025310575170702218,0.00985190109492523,6.728127577022109e-06,9.101574934738088e-05,3.4253087879263663e-06,3.341764671147674e-07,5.742937467529585e-07,22
23,0.8767040993807204,0.8766014931539087,2022-03-01 00:23:00,11500.0,221.09563,7.7383345e-05,99.90604706148791,0.0,61060.70116668867,0.15163217780961735,0.8002334260148363,48.014005560890176,82649.21789435828,0.0,0.40011671300741813,0.6344145651715709,0.011363492585765154,0.0004276348917473245,4.172047724364141e-05,7.17e-05,1090000000000000.0,0.0009602801112178034,0.025311156837689242,0.009852127503277774,6.7282821973604304e-06,9.10199819817154e-05,3.425295510849617e-06,3.341751717902065e-07,5.743069447032652e-07,23
24,0.9148311825309449,0.9147146015519048,2022-03-01 00:24:00,11500.0,221.09424,7.704295e-05,99.90710822586875,0.0,61012.687161127775,0.151631283744629,0.8002540107932269,48.015240647593615,82523.80427852945,0.0,0.40012700539661344,0.6344161195632959,0.011363702395077502,0.00042762600294652005,4.171961004356293e-05,7.17e-05,1090000000000000.0,0.0009603048129518722,0.025311539078776167,0.00985227628699199,6.7283838057506265e-06,9.10230371052489e-05,3.4252760394562323e-06,3.3417327214207145e-07,5.743156177051427e-07,24
25,0.9529594803677075,0.9528277099499007,2022-03-01 00:25:00,11500.0,221.09326,7.680424e-05,99.90821363339116,0.0,60964.671920480185,0.15163105381838626,0.8002687214855534,48.016123289133205,82398.58593310027,0.0,0.4001343607427767,0.634417656140582,0.011363852633965745,0.00042761986325936646,4.171901104969429e-05,7.17e-05,1090000000000000.0,0.0009603224657826641,0.025311724311014618,0.009852348386882271,6.728433044700088e-06,9.102490663985388e-05,3.4252519268148266e-06,3.3417091968925144e-07,5.743198206011859e-07,25
26,0.9910890435410535,0.9909408183478968,2022-03-01 00:26:00,11500.0,221.09271,7.6666794e-05,99.90936328748006,0.0,60916.65579719105,0.1516315267524908,0.8002772335948001,48.016634015688005,82273.54760716407,0.0,0.40013861679740004,0.6344187658561611,0.011363940411540607,0.0004276163505030348,4.1718668341759495e-05,7.17e-05,1090000000000000.0,0.00096033268031376,0.025311702276421866,0.009852339810126232,6.72842718740328e-06,9.102553050123886e-05,3.425220807741417e-06,3.341678836820894e-07,5.743193206390658e-07,26
27,1.029219922705697,1.0290539267458927,2022-03-01 00:27:00,11500.0,221.09064,7.619034e-05,99.91055719169734,0.0,60868.639163175365,0.1516297408092691,0.8003078389042985,48.018470334257906,82147.99724056215,0.0,0.40015391945214923,0.634420841839963,0.011364242893540925,0.00042760309366609634,4.171737499181427e-05,7.17e-05,1090000000000000.0,0.0009603694066851581,0.025312367801985827,0.009852598859633724,6.728604099262055e-06,9.103034680772518e-05,3.425204677260515e-06,3.341663099766356e-07,5.743344213298682e-07,27
28,1.0673521685212068,1.0671670351438887,2022-03-01 00:28:00,11500.0,221.08846,7.5684184e-05,99.91179534974087,0.0,60820.620692841105,0.151627838936393,0.8003400416507942,48.02040249904765,82022.44811962763,0.0,0.4001700208253971,0.6344230625639715,0.011364560725545477,0.0004275891648235987,4.17160160803511e-05,7.17e-05,1090000000000000.0,0.0009604080499809529,0.02531307262334236,0.00985287320465541,6.728791456837842e-06,9.103542752472055e-05,3.425188475358879e-06,3.341647293033053e-07,5.7435041363723e-07,28
29,1.1054858316521925,1.1052801435418849,2022-03-01 00:29:00,11500.0,221.08676,7.528666e-05,99.91307776544586,0.0,60772.60029034206,0.15162670940598613,0.8003653825218421,48.02192295131052,81897.09539915083,0.0,0.40018269126092104,0.6344251033532807,0.011364813936605036,0.0004275783210975314,4.171495815585672e-05,7.17e-05,1090000000000000.0,0.0009604384590262104,0.025313549190291374,0.009853058703815946,6.728918139191378e-06,9.103916981732929e-05,3.425166096140684e-06,3.3416254596494474e-07,5.743612268809782e-07,29
